BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,AIRPORT LA GUARDIA       ,01  ONE FAMILY HOMES                        ,1,949,38, ,A5,19-56 81ST   STREET                      ,            ,11370,1,0,1,1800,1224,1945,1,A5,0,2011-10-14
4,AIRPORT LA GUARDIA       ,12  CONDOS - WALKUP APARTMENTS              ,2,949,1018, ,R2,19-17 80TH   STREET                      ,2,11370,1,0,1,0,0,0,2,R2,280000,2011-12-06
4,ARVERNE                  ,01  ONE FAMILY HOMES                        ,1,15829,34, ,A5,350 BEACH 40TH STREET                    ,            ,11691,1,0,1,2613,1502,2008,1,A5,341360,2011-03-07
4,ARVERNE                  ,01  ONE FAMILY HOMES                        ,1,15830,61, ,A6,317 BEACH 40 STREET                      ,            ,11691,1,0,1,2115,608,1920,1,A6,50000,2011-03-03
4,ARVERNE                  ,01  ONE FAMILY HOMES                        ,1,15837,56, ,A1,335 BEACH 45TH STREET                    ,            ,11691,1,0,1,2470,1048,1925,1,A1,160000,2011-07-06
4,ARVERNE                  ,01  ONE FAMILY HOMES                        ,1,15954,87, ,A5,3720 BEACH CHANNEL DRIVE                 ,            ,11691,1,0,1,2080,1502,2008,1,A5,434500,2011-01-28
4,ARVERNE                  ,01  ONE FAMILY HOMES                        ,1,15962,88, ,A6,515 BEACH 43                             ,            ,11691,1,0,1,1430,600,1920,1,A6,46644,2011-02-04
4,ARVERNE                  ,01  ONE FAMILY HOMES                        ,1,15962,92, ,A9,525 BEACH 43RD                           ,            ,11691,1,0,1,1690,1057,1920,1,A9,500,2011-08-05
4,ARVERNE                  ,01  ONE FAMILY HOMES                        ,1,15966,33, ,A2,514 BEACH 45TH STREET                    ,            ,11691,1,0,1,2394,720,1905,1,A2,0,2011-06-13
4,ARVERNE                  ,01  ONE FAMILY HOMES                        ,1,15968,32, ,A6,460 BEACH 46 STREET                      ,            ,11691,1,0,1,2378,930,1920,1,A6,100000,2011-09-27
