BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIALUNITS,COMMERCIALUNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASSAT TIME OF SALE,SALE PRICE,SALE DATE
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6359.0,70.0,,S1,8684 15TH AVENUE,,11228.0,1.0,1.0,2.0,1933.0,4080.0,1930.0,1.0,S1,1300000.0,2020-04-28
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360.0,48.0,,A5,14 BAY 10TH STREET,,11228.0,1.0,0.0,1.0,2513.0,1428.0,1930.0,1.0,A5,849000.0,2020-03-18
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360.0,56.0,,A5,30 BAY 10TH STREET,,11228.0,1.0,0.0,1.0,1547.0,1428.0,1930.0,1.0,A5,75000.0,2020-11-30
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6362.0,23.0,,A9,43 BAY 11TH STREET,,11228.0,1.0,0.0,1.0,2280.0,1052.0,1901.0,1.0,A9,0.0,2020-11-04
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6367.0,24.0,,A9,8645 BAY 16TH STREET,,11214.0,1.0,0.0,1.0,1571.0,1456.0,1935.0,1.0,A9,830000.0,2020-06-26
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6371.0,19.0,,A9,79 BAY 20TH STREET,,11214.0,1.0,0.0,1.0,2320.0,1566.0,1930.0,1.0,A9,0.0,2020-02-21
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6371.0,60.0,,A9,8620 19TH AVENUE,,11214.0,1.0,0.0,1.0,2417.0,2106.0,1930.0,1.0,A9,1188000.0,2020-07-20
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6392.0,65.0,,A2,140 BAY 8 STREET,,11228.0,1.0,0.0,1.0,3222.0,1804.0,1940.0,1.0,A2,975000.0,2020-01-21
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6392.0,115.0,,A5,145 BAY 7TH STREET,,11228.0,1.0,0.0,1.0,1448.0,1280.0,1945.0,1.0,A5,870000.0,2020-10-15
3.0,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6399.0,13.0,,A1,155 BAY 14TH ST,,11214.0,1.0,0.0,1.0,3680.0,936.0,1930.0,1.0,A1,1250000.0,2020-12-23
