BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIALUNITS,COMMERCIALUNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASSAT TIME OF SALE,SALE PRICE,SALE DATE
4.0,AIRPORT JFK,39 TRANSPORTATION FACILITIES,4,14260.0,80.0,,V7,N/A ROCKAWAY BLVD,,11434.0,0.0,0.0,0.0,268092.0,0.0,,4.0,T1,4121000.0,2020-07-16
4.0,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949.0,41.0,,A5,19-62 81ST STREET,,11370.0,1.0,0.0,1.0,1800.0,1224.0,1945.0,1.0,A5,584569.0,2020-08-28
4.0,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949.0,1003.0,,R2,"19-37 80TH STREET, 1",1,11370.0,1.0,0.0,1.0,0.0,0.0,,2.0,R2,420000.0,2020-03-12
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830.0,20.0,,A5,3-20 BEACH 41 STREET,,11691.0,1.0,0.0,1.0,2469.0,1476.0,2005.0,1.0,A5,300000.0,2020-12-16
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830.0,27.0,,A5,336 BEACH 41ST STREET,,11691.0,1.0,0.0,1.0,2325.0,1350.0,2005.0,1.0,A5,360000.0,2020-06-23
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15831.0,27.0,,A5,344 BEACH 42 STREET,,11691.0,1.0,0.0,1.0,2470.0,1332.0,2006.0,1.0,A5,465000.0,2020-10-07
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834.0,51.0,,A6,337 BEACH 43,,11691.0,1.0,0.0,1.0,5134.0,1224.0,1920.0,1.0,A6,235000.0,2020-10-27
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15835.0,32.0,,A2,338 BEACH 45 STREET,,11691.0,1.0,0.0,1.0,2723.0,1070.0,1920.0,1.0,A2,0.0,2020-09-24
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15835.0,59.0,,A2,355 BEACH 44 STREET,,11691.0,1.0,0.0,1.0,3431.0,971.0,1920.0,1.0,A2,540000.0,2020-12-14
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15838.0,45.0,,A9,345 BEACH 46TH STREET,,11691.0,1.0,0.0,1.0,3804.0,926.0,1920.0,1.0,A9,565000.0,2020-10-28
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15849.0,15.0,,A6,4015 ROCKAWAY BEACH BLVD,,11691.0,1.0,0.0,1.0,2648.0,1000.0,1920.0,1.0,A6,0.0,2020-08-14
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15849.0,22.0,,A6,40-01 ROCKAWAY BEACH BLVD,,11691.0,1.0,0.0,1.0,2626.0,618.0,1920.0,1.0,A6,190000.0,2020-02-10
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15915.0,47.0,,A2,352 BEACH 68TH ST,,11692.0,1.0,0.0,1.0,3119.0,1240.0,1925.0,1.0,A2,0.0,2020-01-31
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15966.0,5.0,,A2,444 BEACH 45TH STREET,,11691.0,1.0,0.0,1.0,3650.0,1294.0,2018.0,1.0,A2,504972.0,2020-01-21
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968.0,73.0,,A6,475 BEACH 45TH ST,,11691.0,1.0,0.0,1.0,1890.0,612.0,1920.0,1.0,A6,0.0,2020-04-23
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,15969.0,124.0,,A1,448 BEACH 47 STREET,,11691.0,1.0,0.0,1.0,2330.0,1350.0,2005.0,1.0,A1,210000.0,2020-01-06
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026.0,40.0,,A9,6-21 BEACH 65 STREET,,11692.0,1.0,0.0,1.0,2250.0,1530.0,1960.0,1.0,A9,425000.0,2020-08-31
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026.0,44.0,,A9,6-11 BEACH 65 STREET,,11692.0,1.0,0.0,1.0,2250.0,1530.0,1960.0,1.0,A9,0.0,2020-02-06
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16028.0,70.0,,A2,6702 ALMEDA AVENUE,,11692.0,1.0,0.0,1.0,1350.0,974.0,1930.0,1.0,A2,350000.0,2020-12-29
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16029.0,33.0,,A2,68-17 BAYFIELD AVENUE,,11692.0,1.0,0.0,1.0,4400.0,1087.0,1950.0,1.0,A2,425000.0,2020-12-06
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16031.0,9.0,,A9,522 BEACH 65TH STREET,,11692.0,1.0,0.0,1.0,2500.0,1925.0,1960.0,1.0,A9,470000.0,2020-07-09
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16032.0,19.0,,A0,540 BEACH 66 STREET,,11692.0,1.0,0.0,1.0,4000.0,2081.0,1950.0,1.0,A0,0.0,2020-04-16
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16032.0,23.0,,A1,548 BEACH 66 STREET,,11692.0,1.0,0.0,1.0,4000.0,2550.0,1950.0,1.0,A1,0.0,2020-07-10
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16035.0,68.0,,A1,5-37 BEACH 68 STREET,,11692.0,1.0,0.0,1.0,4000.0,1793.0,1930.0,1.0,A1,150000.0,2020-09-08
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16036.0,1.0,,A2,506 BEACH 69 STREET,,11692.0,1.0,0.0,1.0,10000.0,2324.0,1970.0,1.0,A2,515000.0,2020-10-21
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16038.0,35.0,,A2,454 BEACH 65TH STREET,,11692.0,1.0,0.0,1.0,2800.0,900.0,1910.0,1.0,A2,420000.0,2020-03-10
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16038.0,48.0,,A9,449 BEACH 64,,11692.0,1.0,0.0,1.0,2250.0,1530.0,1960.0,1.0,A9,0.0,2020-12-08
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16038.0,74.0,,A5,64-16 BEACH CHANNEL DRIVE,,11692.0,1.0,0.0,1.0,2000.0,1440.0,2005.0,1.0,A5,480000.0,2020-07-06
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16042.0,31.0,,A5,464 BEACH 69TH STREET,,11692.0,1.0,0.0,1.0,1500.0,1500.0,2004.0,1.0,A5,0.0,2020-02-24
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16042.0,58.0,,A1,429 BEACH 68TH STREET,,11692.0,1.0,0.0,1.0,4000.0,2594.0,1920.0,1.0,A1,460000.0,2020-01-31
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16047.0,37.0,,A1,69-14 ALMEDA AVENUE,,11692.0,1.0,0.0,1.0,2000.0,2176.0,1920.0,1.0,A1,500000.0,2020-08-31
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16047.0,47.0,,A1,69-34 ALMEDA AVENUE,,11692.0,1.0,0.0,1.0,2000.0,2048.0,1920.0,1.0,A1,430000.0,2020-02-19
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16048.0,27.0,,A1,567 BEACH 69TH STREET,,11692.0,1.0,0.0,1.0,4000.0,1828.0,1920.0,1.0,A1,235000.0,2020-08-06
4.0,ARVERNE,01 ONE FAMILY DWELLINGS,1,16049.0,1.0,,A2,69-51 BURCHELL AVE,,11692.0,1.0,0.0,1.0,3000.0,1428.0,1960.0,1.0,A2,360400.0,2020-08-12
