BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIALUNITS,COMMERCIALUNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASSAT TIME OF SALE,SALE PRICE,SALE DATE
,,,,,,,,,,,,,,,,,,,,
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391.0,9.0,,A5,4726 AMBOY ROAD,,10312.0,1.0,0.0,1.0,3067.0,910.0,2002.0,1.0,A5,0.0,2020-07-02
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404.0,46.0,,A1,119 LENZIE STREET,,10312.0,1.0,0.0,1.0,8000.0,3660.0,1998.0,1.0,A1,315000.0,2020-10-02
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407.0,6.0,,A1,118 ELMBANK STREET,,10312.0,1.0,0.0,1.0,6200.0,2580.0,1975.0,1.0,A1,450000.0,2020-06-24
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425.0,31.0,,A1,7 SANDGAP STREET,,10312.0,1.0,0.0,1.0,2500.0,1222.0,1925.0,1.0,A2,525000.0,2020-07-02
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205.0,17.0,,A5,91 EAGAN AVENUE,,10312.0,1.0,0.0,1.0,1845.0,1854.0,1986.0,1.0,A5,480000.0,2020-01-14
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205.0,83.0,,A1,7 SEGUINE PLACE,,10312.0,1.0,0.0,1.0,3989.0,2300.0,2004.0,1.0,A1,720000.0,2020-10-15
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205.0,115.0,,A5,44 MAY PLACE,,10312.0,1.0,0.0,1.0,2475.0,2495.0,1986.0,1.0,A5,0.0,2020-12-11
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205.0,124.0,,A5,22 MAY PLACE,,10312.0,1.0,0.0,1.0,2475.0,2495.0,1986.0,1.0,A5,0.0,2020-09-17
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205.0,145.0,,A5,60 SEGUINE PLACE,,10312.0,1.0,0.0,1.0,1471.0,1172.0,1986.0,1.0,A5,429000.0,2020-11-19
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211.0,16.0,,A5,15 EAGAN AVENUE,,10312.0,1.0,0.0,1.0,2550.0,1825.0,1986.0,1.0,A5,550000.0,2020-10-22
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211.0,52.0,,A5,70 SEGUINE PLACE,,10312.0,1.0,0.0,1.0,2700.0,1320.0,1986.0,1.0,A5,455500.0,2020-07-15
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212.0,46.0,,A5,44 LUCY LOOP,,10312.0,1.0,0.0,1.0,2700.0,1500.0,2000.0,1.0,A5,410670.0,2020-11-10
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212.0,58.0,,A5,93 LORRAIN AVENUE,,10312.0,1.0,0.0,1.0,1650.0,1548.0,2005.0,1.0,A5,520000.0,2020-06-22
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212.0,59.0,,A5,91 LORRAINE AVENUE,,10312.0,1.0,0.0,1.0,1650.0,1548.0,2005.0,1.0,A5,530000.0,2020-12-30
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212.0,61.0,,A5,87 LORRAINE AVE,,10312.0,1.0,0.0,1.0,1650.0,1548.0,2005.0,1.0,A5,545000.0,2020-09-01
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212.0,77.0,,A1,1068 ARDEN AVENUE,,10312.0,1.0,0.0,1.0,4200.0,790.0,1925.0,1.0,A1,0.0,2020-08-20
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6215.0,44.0,,A2,142 FABIAN STREET,,10312.0,1.0,0.0,1.0,7500.0,800.0,1955.0,1.0,A2,0.0,2020-06-08
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216.0,34.0,,A5,12 EAGAN AVENUE,,10312.0,1.0,0.0,1.0,1333.0,1145.0,1994.0,1.0,A5,458000.0,2020-07-07
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216.0,37.0,,A5,18 EAGAN AVENUE,,10312.0,1.0,0.0,1.0,1333.0,1145.0,1994.0,1.0,A5,435000.0,2020-08-20
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6217.0,8.0,,A1,121 BARCLAY AVENUE,,10312.0,1.0,0.0,1.0,3700.0,1163.0,1925.0,1.0,A1,650000.0,2020-12-17
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219.0,1.0,,A5,64 LORRAINE AVENUE,,10312.0,1.0,0.0,1.0,11830.0,1700.0,2004.0,1.0,A5,472000.0,2020-05-29
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219.0,14.0,,A5,90 LORRAINE AVENUE,,10312.0,1.0,0.0,1.0,1650.0,1700.0,2004.0,1.0,A5,580000.0,2020-05-01
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220.0,65.0,,A5,46 ENDVIEW STREET,,10312.0,1.0,0.0,1.0,2678.0,1344.0,2003.0,1.0,A5,575000.0,2020-11-06
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220.0,70.0,,A5,56 ENDVIEW STREET,,10312.0,1.0,0.0,1.0,1648.0,1344.0,2003.0,1.0,A5,518000.0,2020-12-07
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6222.0,47.0,,A5,29 LORRAINE AVENUE,,10312.0,1.0,0.0,1.0,2400.0,1500.0,2004.0,1.0,A5,627000.0,2020-11-16
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6226.0,15.0,,A1,730 ANNADALE ROAD,,10312.0,1.0,0.0,1.0,5200.0,1465.0,1930.0,1.0,A1,631000.0,2020-10-01
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6227.0,10.0,,A2,117 JEFFERSON BOULEVARD,,10312.0,1.0,0.0,1.0,5000.0,1096.0,1965.0,1.0,A2,0.0,2020-01-24
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6235.0,25.0,,A1,219 SHELDON AVENUE,,10312.0,1.0,0.0,1.0,8000.0,1375.0,1945.0,1.0,A1,237000.0,2020-03-18
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6236.0,37.0,,A1,154 STAFFORD AVENUE,,10312.0,1.0,0.0,1.0,4000.0,1966.0,1935.0,1.0,A1,797000.0,2020-07-01
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6236.0,64.0,,A1,137 SINCLAIR AVENUE,,10312.0,1.0,0.0,1.0,8000.0,2960.0,1975.0,1.0,A1,865000.0,2020-06-15
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6237.0,19.0,,A1,220 VINELAND AVENUE,,10312.0,1.0,0.0,1.0,4000.0,2368.0,2000.0,1.0,A1,835000.0,2020-09-17
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6237.0,47.0,,A2,496 ARDEN AVENUE,,10312.0,1.0,0.0,1.0,6000.0,924.0,1940.0,1.0,A2,480000.0,2020-06-29
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6238.0,35.0,,A1,214 CROWN AVENUE,,10312.0,1.0,0.0,1.0,8000.0,2870.0,1975.0,1.0,A1,929000.0,2020-09-16
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6238.0,41.0,,A1,460 ARDEN AVENUE,,10312.0,1.0,0.0,1.0,6400.0,2232.0,1975.0,1.0,A1,0.0,2020-01-23
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6239.0,7.0,,A1,473 JEFFERSON BLVD,,10312.0,1.0,0.0,1.0,7200.0,1758.0,1930.0,1.0,A1,0.0,2020-06-04
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6240.0,49.0,,A1,4905 AMBOY ROAD,,10312.0,1.0,0.0,1.0,6850.0,1300.0,1940.0,1.0,A1,550000.0,2020-10-09
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245.0,1.0,,A2,4969 AMBOY ROAD,,10312.0,1.0,0.0,1.0,7695.0,1040.0,1960.0,1.0,A2,750000.0,2020-08-27
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245.0,166.0,,A1,62 HILLIS STREET,,10312.0,1.0,0.0,1.0,4700.0,2560.0,1970.0,1.0,A1,270000.0,2020-09-11
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245.0,177.0,,A2,59 PINE TERRACE,,10312.0,1.0,0.0,1.0,6000.0,1346.0,1960.0,1.0,A2,635000.0,2020-02-06
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245.0,235.0,,A2,14 PINE TERRACE,,10312.0,1.0,0.0,1.0,4500.0,1008.0,1960.0,1.0,A2,0.0,2020-12-16
