BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIALUNITS,COMMERCIALUNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASSAT TIME OF SALE,SALE PRICE,SALE DATE
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3028.0,23.0,,A1,408 EAST 179TH STREET,,10457.0,1.0,0.0,1.0,1842.0,2048.0,1901.0,1.0,A1,0.0,2021-01-20
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3028.0,24.0,,A1,410 EAST 179TH STREET,,10457.0,1.0,0.0,1.0,1842.0,2048.0,1901.0,1.0,A1,600000.0,2021-01-15
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039.0,63.0,,A1,469 EAST 185TH STREET,,10458.0,1.0,0.0,1.0,1650.0,1296.0,1910.0,1.0,A1,455000.0,2021-12-23
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3045.0,12.0,,A1,2052 BATHGATE AVENUE,,10457.0,1.0,0.0,1.0,2340.0,1516.0,1910.0,1.0,A1,580000.0,2021-07-22
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046.0,39.0,,A1,2075 BATHGATE AVENUE,,10457.0,1.0,0.0,1.0,1986.0,1344.0,1899.0,1.0,A1,0.0,2021-09-17
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3048.0,28.0,,A1,540 E 182ND STREET,,10457.0,1.0,0.0,1.0,1209.0,1048.0,1901.0,1.0,A1,0.0,2021-10-13
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053.0,108.0,,A9,2317 BASSFORD AVENUE,,10458.0,1.0,0.0,1.0,925.0,1188.0,1901.0,1.0,A9,251600.0,2021-08-17
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,135.0,,B1,492 CLAREMONT PARKWAY,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,655000.0,2021-04-09
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,145.0,,B1,3811 3 AVENUE,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,0.0,2021-11-12
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,146.0,,B1,3809 3RD AVENUE,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,680000.0,2021-08-11
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927.0,120.0,,B1,"1495 CROTONA PLACE,",,10456.0,2.0,0.0,2.0,1900.0,2394.0,1994.0,1.0,B1,620000.0,2021-12-16
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030.0,61.0,,B3,4467 PARK AVENUE,,10457.0,2.0,0.0,2.0,1556.0,1494.0,1899.0,1.0,B3,650000.0,2021-08-23
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030.0,202.0,,B3,4465 PARK AVENUE,,10457.0,2.0,0.0,2.0,1569.0,1497.0,1899.0,1.0,B3,0.0,2021-04-28
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030.0,203.0,,B3,4461 PARK AVE,,10457.0,2.0,0.0,2.0,1592.0,1860.0,1899.0,1.0,B3,710000.0,2021-05-03
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3036.0,146.0,,B1,2049 WASHINGTON AVENUE,,10457.0,2.0,0.0,2.0,3323.0,2292.0,1997.0,1.0,B1,540000.0,2021-11-03
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037.0,3.0,,B2,4386 PARK AVENUE,,10457.0,2.0,0.0,2.0,1144.0,2889.0,1899.0,1.0,B2,15000.0,2021-02-03
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037.0,4.0,,B2,4388 PARK AVENUE,,10457.0,2.0,0.0,2.0,2275.0,1548.0,1899.0,1.0,B2,0.0,2021-02-03
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037.0,6.0,,B2,4392 PARK AVENUE,,10457.0,2.0,0.0,2.0,2275.0,3240.0,1899.0,1.0,B2,0.0,2021-12-02
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039.0,20.0,,B3,468 EAST 185 STREET,,10458.0,2.0,0.0,2.0,1800.0,1944.0,1910.0,1.0,B3,0.0,2021-02-15
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039.0,44.0,,B1,444 EAST 186 STREET,,10458.0,2.0,0.0,2.0,2000.0,2060.0,1901.0,1.0,B1,385000.0,2021-02-16
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039.0,158.0,,B1,474 EAST 186 STREET,,10458.0,2.0,0.0,2.0,2000.0,2400.0,1997.0,1.0,B1,695000.0,2021-09-03
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3040.0,16.0,,B2,464 EAST 187 STREET,,10458.0,2.0,0.0,2.0,1642.0,1820.0,1910.0,1.0,B2,150000.0,2021-04-20
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3040.0,16.0,,B2,464 EAST 187 STREET,,10458.0,2.0,0.0,2.0,1642.0,1820.0,1910.0,1.0,B2,820000.0,2021-12-30
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3044.0,165.0,,B1,2004 BATHGATE AVE,,10457.0,2.0,0.0,2.0,1615.0,2340.0,1998.0,1.0,B1,675000.0,2021-06-14
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3044.0,165.0,,B1,2004 BATHGATE AVENUE,,10457.0,2.0,0.0,2.0,1615.0,2340.0,1998.0,1.0,B1,789000.0,2021-11-22
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3045.0,16.0,,B3,2060 BATHGATE AVENUE,,10457.0,2.0,0.0,2.0,1429.0,1872.0,1910.0,1.0,B3,600000.0,2021-03-12
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050.0,79.0,,B2,2259 BATHGATE AVENUE,,10457.0,2.0,0.0,2.0,2018.0,1562.0,1901.0,1.0,B2,0.0,2021-02-04
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050.0,90.0,,B2,505 E 182 STREET,,10457.0,2.0,0.0,2.0,1960.0,2278.0,1901.0,1.0,B2,734000.0,2021-07-13
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050.0,96.0,,B2,2244 BASSFORD AVENUE,,10457.0,2.0,0.0,2.0,1450.0,3549.0,1901.0,1.0,B2,0.0,2021-09-15
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053.0,4.0,,B1,507 E 183RD STREET,,10458.0,2.0,0.0,2.0,1380.0,2805.0,1901.0,1.0,B1,0.0,2021-01-25
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053.0,16.0,,B2,2303 BATHGATE AVENUE,,10458.0,2.0,0.0,2.0,1521.0,1836.0,1901.0,1.0,B2,460000.0,2021-12-16
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053.0,17.0,,B2,2301 BATHGATE AVE,,10458.0,2.0,0.0,2.0,1169.0,1836.0,1901.0,1.0,B2,790000.0,2021-10-08
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053.0,17.0,,B2,2301 BATHGATE AVENUE,,10458.0,2.0,0.0,2.0,1169.0,1836.0,1901.0,1.0,B2,0.0,2021-10-09
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3035.0,53.0,,C0,459 EAST 178TH ST,,10457.0,3.0,0.0,3.0,1799.0,3520.0,2007.0,1.0,C0,670000.0,2021-07-26
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3035.0,54.0,,C0,457 EAST 178TH STREET,,10457.0,3.0,0.0,3.0,1800.0,3520.0,2007.0,1.0,C0,0.0,2021-05-10
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3037.0,67.0,,C0,460 EAST 182ND STREET,,10457.0,3.0,0.0,3.0,2000.0,3744.0,1899.0,1.0,C0,735000.0,2021-04-14
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3039.0,13.0,,C0,456 EAST 185 STREET,,10458.0,3.0,0.0,3.0,1650.0,1344.0,1910.0,1.0,C0,690000.0,2021-08-30
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3039.0,61.0,,C0,2355 WASHINGTON AVENUE,,10458.0,3.0,0.0,3.0,1638.0,3240.0,2007.0,1.0,C0,920000.0,2021-01-07
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3040.0,13.0,,C0,458 E 187TH STREET,,10458.0,3.0,0.0,3.0,1650.0,1776.0,1910.0,1.0,C0,440000.0,2021-06-30
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3040.0,13.0,,C0,458 EAST 187 STREET,,10458.0,3.0,0.0,3.0,1650.0,1776.0,1910.0,1.0,C0,852000.0,2021-12-06
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3041.0,11.0,,C0,452 CYRUS PLACE,,10458.0,3.0,0.0,3.0,3742.0,2280.0,1910.0,1.0,C0,0.0,2021-05-03
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3044.0,33.0,,C0,1985 BATHGATE AVENUE,,10457.0,3.0,0.0,3.0,2022.0,2904.0,2000.0,1.0,C0,762000.0,2021-10-15
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3046.0,28.0,,C0,2092 WASHINGTON AVENUE,,10457.0,3.0,0.0,3.0,2362.0,3438.0,2011.0,1.0,C0,920000.0,2021-06-10
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3048.0,2.0,,C0,2158 BATHGATE AVENUE,,10457.0,3.0,0.0,3.0,2633.0,1956.0,1901.0,1.0,C0,0.0,2021-04-02
2.0,BATHGATE,03 THREE FAMILY DWELLINGS,1,3048.0,5.0,,C0,2164 BATHGATE AVENUE,,10457.0,3.0,0.0,3.0,2633.0,2524.0,1901.0,1.0,C0,825000.0,2021-04-07
