BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIALUNITS,COMMERCIALUNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASSAT TIME OF SALE,SALE PRICE,SALE DATE
1.0,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,374.0,46.0,,A4,347 EAST 4TH STREET,,10009.0,1.0,0.0,1.0,2116.0,4400.0,1900.0,1.0,A4,2385000.0,2021-02-09
1.0,ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,377.0,70.0,,B1,235 EAST 7TH STREET,,10009.0,2.0,0.0,2.0,882.0,2160.0,2003.0,1.0,B1,3025000.0,2021-12-16
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376.0,54.0,,C4,"719 EAST SIXTH STREET, 5C",,10009.0,20.0,0.0,20.0,2302.0,9750.0,1900.0,2.0,C4,154196.0,2021-06-11
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,385.0,46.0,,C4,248 EAST 2 STREET,,10009.0,20.0,0.0,20.0,2623.0,11017.0,1900.0,2.0,C4,0.0,2021-11-15
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,386.0,53.0,,C1,233 EAST 3 STREET,,10009.0,29.0,0.0,29.0,3927.0,17754.0,1910.0,2.0,C1,7500000.0,2021-06-14
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,390.0,57.0,,C7,197 EAST 7TH STREET,,10009.0,10.0,1.0,11.0,1600.0,5320.0,1910.0,2.0,C7,3425000.0,2021-02-11
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,392.0,5.0,,C2,151 AVENUE B,,10009.0,5.0,0.0,5.0,2139.0,4416.0,1900.0,2.0,C2,0.0,2021-03-31
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,394.0,37.0,,C4,656 EAST 12 STREET,,10009.0,9.0,1.0,10.0,1273.0,6365.0,1910.0,2.0,C4,3.0,2021-06-30
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,399.0,33.0,,C7,46 AVENUE B,,10009.0,21.0,2.0,23.0,3853.0,16433.0,1900.0,2.0,C7,0.0,2021-11-15
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,400.0,20.0,,C4,528 EAST 5TH STREET,,10009.0,8.0,0.0,8.0,1859.0,5340.0,1900.0,2.0,C4,4500000.0,2021-11-22
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402.0,26.0,,C4,164 EAST 7TH STREET,,10009.0,9.0,1.0,10.0,1817.0,6162.0,1900.0,2.0,C4,11500000.0,2021-12-10
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402.0,27.0,,C4,166 EAST 7TH STREET,,10009.0,9.0,0.0,9.0,1817.0,6150.0,1900.0,2.0,C4,11500000.0,2021-12-10
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,404.0,5.0,,C2,502 EAST 11TH STREET,,10009.0,5.0,0.0,5.0,1520.0,3779.0,1900.0,2.0,C2,4185000.0,2021-12-16
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,405.0,13.0,,C7,510 EAST 12TH STREET,,10009.0,20.0,2.0,22.0,2581.0,10090.0,1920.0,2.0,C7,9923209.0,2021-04-23
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,405.0,15.0,,C4,514 EAST 12TH STREET,,10009.0,20.0,0.0,20.0,2581.0,9730.0,1920.0,2.0,C4,9482177.0,2021-04-23
1.0,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,405.0,46.0,,C4,533 EAST 11 STREET,,10009.0,14.0,0.0,14.0,2581.0,11448.0,1920.0,2.0,C4,3.0,2021-06-30
